"Entity Couple";"Annotator";"1. Would you say these entities are closely related in any way?";"2. Do you already *know* the nature of the relationship?";"3. Would you *be curious* in learning more about this relationship - if there were one?";"Result";"Surprisal";"Annotation";"S_corrected_Annotation";"First Question";"Second Question"
"Entity Pair 107: Membrillo AND Gustavia_superba";"Anonymous User 2";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 107: Membrillo AND Gustavia_superba";"Anonymous User 3";"No";"DOES NOT APPLY";"No";"Irrelevant";"Unexpected";"0,5";"0,7";0;0
"Entity Pair 108: Arnold_Schwarzenegger AND The_Running_Man_(1987_film)";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 108: Arnold_Schwarzenegger AND The_Running_Man_(1987_film)";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 108: Arnold_Schwarzenegger AND The_Running_Man_(1987_film)";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 109: Lady_Gaga AND David_Bowie";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 109: Lady_Gaga AND David_Bowie";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 109: Lady_Gaga AND David_Bowie";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 110: Bond_girl AND The_Spy_Who_Loved_Me_(film)";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 110: Bond_girl AND The_Spy_Who_Loved_Me_(film)";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 110: Bond_girl AND The_Spy_Who_Loved_Me_(film)";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 111: Hum_Aapke_Hain_Koun..! AND List_of_highest-grossing_films_in_India";"Anonymous User 1";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 111: Hum_Aapke_Hain_Koun..! AND List_of_highest-grossing_films_in_India";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 111: Hum_Aapke_Hain_Koun..! AND List_of_highest-grossing_films_in_India";"Anonymous User 3";"Yes";"No";"DOES NOT APPLY";"Too obvious";"Mildly Unexpected";0;0;1;0
"Entity Pair 112: Mena_Suvari AND American_Horror_Story:_Apocalypse";"Anonymous User 1";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 112: Mena_Suvari AND American_Horror_Story:_Apocalypse";"Anonymous User 2";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 112: Mena_Suvari AND American_Horror_Story:_Apocalypse";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 113: Doctor_Strange_in_the_Multiverse_of_Madness AND Ms._Marvel_(miniseries)";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 113: Doctor_Strange_in_the_Multiverse_of_Madness AND Ms._Marvel_(miniseries)";"Anonymous User 2";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 113: Doctor_Strange_in_the_Multiverse_of_Madness AND Ms._Marvel_(miniseries)";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 114: Assassination_of_Martin_Luther_King_Jr. AND James_Earl_Ray";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 114: Assassination_of_Martin_Luther_King_Jr. AND James_Earl_Ray";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 114: Assassination_of_Martin_Luther_King_Jr. AND James_Earl_Ray";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 115: Bhool_Bhulaiyaa_2 AND Kiara_Advani";"Anonymous User 1";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 115: Bhool_Bhulaiyaa_2 AND Kiara_Advani";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 115: Bhool_Bhulaiyaa_2 AND Kiara_Advani";"Anonymous User 3";"No";"DOES NOT APPLY";"No";"Irrelevant";"Unexpected";"0,5";"0,7";0;0
"Entity Pair 116: Wraith_(Yuri_Watanabe) AND Tombstone_(character)";"Anonymous User 1";"Yes";"No";"No";"Irrelevant";"Mildly Unexpected";"0,5";"0,5";1;0
"Entity Pair 116: Wraith_(Yuri_Watanabe) AND Tombstone_(character)";"Anonymous User 2";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 116: Wraith_(Yuri_Watanabe) AND Tombstone_(character)";"Anonymous User 3";"Yes";"No";"No";"Too obvious";"Mildly Unexpected";0;0;1;0
"Entity Pair 117: Venom_(2018_film) AND Matthias_Schoenaerts";"Anonymous User 1";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 117: Venom_(2018_film) AND Matthias_Schoenaerts";"Anonymous User 2";"No";"DOES NOT APPLY";"No";"Irrelevant";"Unexpected";"0,5";"0,7";0;0
"Entity Pair 117: Venom_(2018_film) AND Matthias_Schoenaerts";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 118: Brent_Venables AND Oklahoma_Sooners_football";"Anonymous User 1";"Yes";"No";"No";"Irrelevant";"Mildly Unexpected";"0,5";"0,5";1;0
"Entity Pair 118: Brent_Venables AND Oklahoma_Sooners_football";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 118: Brent_Venables AND Oklahoma_Sooners_football";"Anonymous User 3";"No";"DOES NOT APPLY";"No";"Irrelevant";"Unexpected";"0,5";"0,7";0;0
"Entity Pair 119: Rinku_Singh_(cricketer) AND Shreyas_Iyer";"Anonymous User 1";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 119: Rinku_Singh_(cricketer) AND Shreyas_Iyer";"Anonymous User 2";"Yes";"No";"Yes";"Serendipitous";"Mildly Unexpected";1;1;1;0
"Entity Pair 119: Rinku_Singh_(cricketer) AND Shreyas_Iyer";"Anonymous User 3";"No";"DOES NOT APPLY";"No";"Irrelevant";"Unexpected";"0,5";"0,7";0;0
"Entity Pair 120: Crooked_House_(film) AND Gemma_Arterton";"Anonymous User 1";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 120: Crooked_House_(film) AND Gemma_Arterton";"Anonymous User 2";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 120: Crooked_House_(film) AND Gemma_Arterton";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
